open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-04-01 23:15:00,1905.3,1909.42,1905.3,1907.58,583.9888,2025-04-01 23:19:59.999,1114071.207432,4665,319.5316,609567.902858,0
2025-04-01 23:20:00,1907.58,1910.19,1907.58,1910.07,385.3182,2025-04-01 23:24:59.999,735631.610886,3324,254.6268,486100.564297,0
2025-04-01 23:25:00,1910.06,1911.4,1909.23,1910.84,456.8899,2025-04-01 23:29:59.999,872736.349095,2521,250.4603,478404.97451,0
2025-04-01 23:30:00,1910.83,1915.18,1910.44,1912.21,1012.5747,2025-04-01 23:34:59.999,1937562.377248,5195,644.7081,1233761.995339,0
2025-04-01 23:35:00,1912.21,1912.89,1909.02,1910.15,629.2309,2025-04-01 23:39:59.999,1202256.438637,3812,268.8316,513618.766499,0
2025-04-01 23:40:00,1910.15,1910.15,1908.91,1910.0,378.055,2025-04-01 23:44:59.999,721838.9809,2480,242.3341,462680.036533,0
2025-04-01 23:45:00,1910.0,1910.0,1906.84,1907.01,380.9737,2025-04-01 23:49:59.999,726915.494307,2663,118.186,225489.668276,0
2025-04-01 23:50:00,1907.0,1908.06,1904.7,1906.09,960.8822,2025-04-01 23:54:59.999,1831717.937774,3433,345.7099,659018.910197,0
2025-04-01 23:55:00,1906.1,1906.54,1904.97,1904.98,516.1768,2025-04-01 23:59:59.999,983588.620024,1952,204.7132,390102.088303,0
2025-04-02 00:00:00,1904.98,1906.04,1901.75,1906.03,939.7313,2025-04-02 00:04:59.999,1788817.00088,6373,424.8851,808795.535113,0
2025-04-02 00:05:00,1906.04,1908.41,1902.84,1903.22,1047.625,2025-04-02 00:09:59.999,1997101.042324,5342,625.5101,1192626.861758,0
2025-04-02 00:10:00,1903.22,1904.21,1901.17,1901.17,556.3636,2025-04-02 00:14:59.999,1058861.740648,3386,229.8604,437528.684737,0
